"ride_id","full_date","day_name","day_of_week","week_of_year","is_weekend","ride_city","region","country","driver_id","driver_name","driver_age","driver_city","experience_years","driver_avg_rating","active_status","promo_code","is_promotional","discount_percent","distance_km","duration_min","fare_usd","ride_rating","fare_per_km","fare_per_min"
14,"2024-11-14","Thursday",4,46,False,"San Francisco","West","US",148,"Isaiah Evans",60,"Chicago",3,"4.90","Inactive","DISCOUNT10",True,"0.1000","12.90",31,"34.17","3.80","2.6488","1.1023"
15,"2024-11-11","Monday",1,46,False,"Los Angeles","West","US",127,"Katherine Ellison",42,"Los Angeles",11,"4.60","Inactive","SAVE20",True,"0.2000","26.40",59,"77.73","4.60","2.9443","1.3175"
16,"2024-11-25","Monday",1,48,False,"Los Angeles","West","US",136,"Erik Simpson",29,"Chicago",16,"4.00","Inactive","DISCOUNT10",True,"0.1000","49.70",116,"49.96","4.90","1.0052","0.4307"
17,"2024-11-17","Sunday",7,46,True,"Chicago","Midwest","US",132,"Kaitlin Walton",27,"Los Angeles",6,"4.80","Active","SAVE20",True,"0.2000","42.90",84,"125.46","3.70","2.9245","1.4936"
18,"2024-11-05","Tuesday",2,45,False,"New York","Northeast","US",160,"Shelby Baldwin",56,"Los Angeles",9,"4.90","Inactive","WELCOME5",True,"0.0500","34.50",82,"24.27","4.80","0.7035","0.2960"
19,"2024-11-21","Thursday",4,47,False,"Los Angeles","West","US",122,"Randall Cook",32,"Chicago",15,"5.00","Inactive","DISCOUNT10",True,"0.1000","43.10",65,"117.71","3.80","2.7311","1.8109"
20,"2024-11-25","Monday",1,48,False,"Chicago","Midwest","US",107,"James Jones",41,"Los Angeles",5,"5.00","Inactive","DISCOUNT10",True,"0.1000","21.70",44,"30.00","4.90","1.3825","0.6818"
21,"2024-11-20","Wednesday",3,47,False,"Chicago","Midwest","US",160,"Shelby Baldwin",56,"Los Angeles",9,"4.90","Inactive","NO_PROMO",False,"0.0000","34.50",56,"31.56","3.90","0.9148","0.5636"
22,"2024-11-19","Tuesday",2,47,False,"San Francisco","West","US",170,"Erik Greene",37,"Chicago",20,"5.00","Inactive","NO_PROMO",False,"0.0000","32.80",67,"95.30","4.50","2.9055","1.4224"
23,"2024-11-24","Sunday",7,47,True,"New York","Northeast","US",147,"Raymond Hill",38,"Chicago",16,"4.30","Inactive","WELCOME5",True,"0.0500","17.70",34,"20.68","4.90","1.1684","0.6082"
24,"2024-11-08","Friday",5,45,False,"Los Angeles","West","US",141,"Luis Compton",49,"New York",15,"4.60","Active","NO_PROMO",False,"0.0000","42.90",74,"121.53","4.70","2.8329","1.6423"
25,"2024-11-05","Tuesday",2,45,False,"Miami","South","US",151,"Kristen Smith",55,"Chicago",14,"4.70","Inactive","SAVE20",True,"0.2000","21.90",35,"43.21","4.20","1.9731","1.2346"
26,"2024-11-27","Wednesday",3,48,False,"Miami","South","US",190,"Michelle Rhodes",29,"San Francisco",20,"4.20","Active","DISCOUNT10",True,"0.1000","14.30",31,"30.32","4.80","2.1203","0.9781"
27,"2024-11-03","Sunday",7,44,True,"Miami","South","US",113,"Brian Edwards II",35,"Los Angeles",15,"4.40","Inactive","WELCOME5",True,"0.0500","33.20",74,"73.77","3.70","2.2220","0.9969"
28,"2024-11-08","Friday",5,45,False,"Chicago","Midwest","US",187,"Catherine Levine",43,"Miami",1,"4.30","Inactive","WELCOME5",True,"0.0500","46.10",82,"99.46","4.50","2.1575","1.2129"
29,"2024-11-07","Thursday",4,45,False,"Los Angeles","West","US",103,"Crystal Cook",57,"Chicago",9,"4.50","Inactive","NO_PROMO",False,"0.0000","39.60",69,"30.35","3.70","0.7664","0.4399"
30,"2024-11-17","Sunday",7,46,True,"New York","Northeast","US",190,"Michelle Rhodes",29,"San Francisco",20,"4.20","Active","SAVE20",True,"0.2000","24.20",50,"28.81","3.90","1.1905","0.5762"
31,"2024-11-17","Sunday",7,46,True,"Miami","South","US",164,"Joshua Williams",33,"San Francisco",9,"4.50","Inactive","DISCOUNT10",True,"0.1000","13.80",24,"24.67","4.40","1.7877","1.0279"
32,"2024-11-07","Thursday",4,45,False,"San Francisco","West","US",135,"Michael Jackson",56,"Los Angeles",19,"4.80","Inactive","NO_PROMO",False,"0.0000","1.90",2,"4.46","4.50","2.3474","2.2300"
33,"2024-11-14","Thursday",4,46,False,"Miami","South","US",193,"Jason Adams",44,"Los Angeles",11,"4.30","Active","WELCOME5",True,"0.0500","41.60",73,"97.98","4.70","2.3553","1.3422"
34,"2024-11-10","Sunday",7,45,True,"San Francisco","West","US",188,"Molly Bell",47,"Los Angeles",17,"4.60","Active","NO_PROMO",False,"0.0000","17.80",39,"20.94","3.50","1.1764","0.5369"
35,"2024-11-24","Sunday",7,47,True,"Los Angeles","West","US",195,"Kathleen Soto",31,"Chicago",9,"4.40","Active","SAVE20",True,"0.2000","46.20",109,"87.16","4.60","1.8866","0.7996"
36,"2024-11-25","Monday",1,48,False,"Miami","South","US",190,"Michelle Rhodes",29,"San Francisco",20,"4.20","Active","SAVE20",True,"0.2000","16.90",34,"13.12","4.70","0.7763","0.3859"
37,"2024-11-11","Monday",1,46,False,"San Francisco","West","US",170,"Erik Greene",37,"Chicago",20,"5.00","Inactive","DISCOUNT10",True,"0.1000","41.10",67,"108.10","4.30","2.6302","1.6134"
38,"2024-11-10","Sunday",7,45,True,"Miami","South","US",149,"Catherine Washington",54,"Los Angeles",10,"4.10","Active","SAVE20",True,"0.2000","26.90",41,"61.77","4.50","2.2963","1.5066"
39,"2024-11-13","Wednesday",3,46,False,"Chicago","Midwest","US",175,"Erica Roberts",49,"Miami",20,"5.00","Inactive","SAVE20",True,"0.2000","40.50",62,"34.84","4.70","0.8602","0.5619"
40,"2024-11-13","Wednesday",3,46,False,"New York","Northeast","US",158,"Holly Li",47,"Chicago",14,"4.10","Inactive","SAVE20",True,"0.2000","43.90",102,"57.95","4.00","1.3200","0.5681"
41,"2024-11-04","Monday",1,45,False,"Miami","South","US",191,"Angel Sharp",59,"Miami",11,"4.20","Inactive","NO_PROMO",False,"0.0000","9.60",19,"17.61","4.30","1.8344","0.9268"
42,"2024-11-30","Saturday",6,48,True,"Miami","South","US",130,"David Craig",50,"New York",18,"4.70","Inactive","DISCOUNT10",True,"0.1000","9.80",23,"12.85","3.50","1.3112","0.5587"
43,"2024-11-18","Monday",1,47,False,"Los Angeles","West","US",115,"Patrick Hall",37,"Chicago",4,"4.40","Active","SAVE20",True,"0.2000","38.90",91,"87.05","4.40","2.2378","0.9566"
44,"2024-11-14","Thursday",4,46,False,"Los Angeles","West","US",122,"Randall Cook",32,"Chicago",15,"5.00","Inactive","NO_PROMO",False,"0.0000","7.00",12,"4.12","4.50","0.5886","0.3433"
45,"2024-11-19","Tuesday",2,47,False,"New York","Northeast","US",146,"Lawrence Santiago",43,"Chicago",17,"4.10","Inactive","NO_PROMO",False,"0.0000","22.70",54,"67.44","4.80","2.9709","1.2489"
46,"2024-11-11","Monday",1,46,False,"San Francisco","West","US",172,"William Richards",36,"Miami",1,"4.80","Inactive","NO_PROMO",False,"0.0000","10.10",17,"10.02","4.50","0.9921","0.5894"
47,"2024-11-10","Sunday",7,45,True,"San Francisco","West","US",152,"Sharon Jones",36,"San Francisco",9,"4.20","Active","SAVE20",True,"0.2000","17.50",41,"35.47","3.80","2.0269","0.8651"
48,"2024-11-13","Wednesday",3,46,False,"Chicago","Midwest","US",104,"Tiffany Wright",58,"San Francisco",19,"4.40","Inactive","SAVE20",True,"0.2000","9.50",22,"22.65","3.50","2.3842","1.0295"
49,"2024-11-03","Sunday",7,44,True,"Los Angeles","West","US",141,"Luis Compton",49,"New York",15,"4.60","Active","NO_PROMO",False,"0.0000","23.60",50,"34.55","4.00","1.4640","0.6910"
50,"2024-11-04","Monday",1,45,False,"New York","Northeast","US",189,"Christopher Garcia",59,"San Francisco",19,"4.90","Inactive","NO_PROMO",False,"0.0000","5.40",9,"13.26","4.40","2.4556","1.4733"
51,"2024-11-15","Friday",5,46,False,"Chicago","Midwest","US",130,"David Craig",50,"New York",18,"4.70","Inactive","NO_PROMO",False,"0.0000","7.10",17,"18.69","4.30","2.6324","1.0994"
52,"2024-11-04","Monday",1,45,False,"Miami","South","US",119,"April Rodriguez",44,"Chicago",4,"5.00","Active","NO_PROMO",False,"0.0000","23.80",48,"35.36","4.00","1.4857","0.7367"
53,"2024-11-17","Sunday",7,46,True,"San Francisco","West","US",115,"Patrick Hall",37,"Chicago",4,"4.40","Active","DISCOUNT10",True,"0.1000","6.20",13,"6.34","3.60","1.0226","0.4877"
54,"2024-11-10","Sunday",7,45,True,"Los Angeles","West","US",151,"Kristen Smith",55,"Chicago",14,"4.70","Inactive","DISCOUNT10",True,"0.1000","31.40",66,"29.07","3.70","0.9258","0.4405"
55,"2024-11-07","Thursday",4,45,False,"New York","Northeast","US",182,"Edward Gonzalez",58,"Miami",19,"5.00","Active","SAVE20",True,"0.2000","45.80",71,"122.43","4.00","2.6731","1.7244"
56,"2024-11-22","Friday",5,47,False,"San Francisco","West","US",157,"Manuel Smith",31,"Los Angeles",16,"4.20","Inactive","WELCOME5",True,"0.0500","16.10",29,"29.47","4.70","1.8304","1.0162"
57,"2024-11-08","Friday",5,45,False,"Chicago","Midwest","US",177,"Charles Guerrero",58,"San Francisco",9,"4.70","Active","SAVE20",True,"0.2000","38.10",68,"104.20","3.80","2.7349","1.5324"
58,"2024-11-11","Monday",1,46,False,"Los Angeles","West","US",191,"Angel Sharp",59,"Miami",11,"4.20","Inactive","DISCOUNT10",True,"0.1000","23.80",40,"29.98","3.70","1.2597","0.7495"
59,"2024-11-08","Friday",5,45,False,"San Francisco","West","US",105,"Jeffrey King",49,"Los Angeles",4,"4.40","Inactive","WELCOME5",True,"0.0500","13.60",29,"21.71","3.60","1.5963","0.7486"
60,"2024-11-26","Tuesday",2,48,False,"Los Angeles","West","US",156,"Peggy Scott PhD",37,"Miami",12,"4.30","Inactive","WELCOME5",True,"0.0500","23.90",45,"21.68","4.50","0.9071","0.4818"
61,"2024-11-27","Wednesday",3,48,False,"Chicago","Midwest","US",144,"Valerie Henry MD",47,"San Francisco",12,"4.80","Inactive","DISCOUNT10",True,"0.1000","28.70",48,"78.93","3.80","2.7502","1.6444"
62,"2024-11-09","Saturday",6,45,True,"Miami","South","US",200,"Amy Guzman",36,"New York",20,"4.30","Active","NO_PROMO",False,"0.0000","15.20",36,"21.62","3.90","1.4224","0.6006"
63,"2024-11-14","Thursday",4,46,False,"Chicago","Midwest","US",149,"Catherine Washington",54,"Los Angeles",10,"4.10","Active","SAVE20",True,"0.2000","30.20",64,"25.65","4.70","0.8493","0.4008"
64,"2024-11-04","Monday",1,45,False,"San Francisco","West","US",179,"Johnathan Shah",52,"New York",14,"4.80","Inactive","NO_PROMO",False,"0.0000","8.90",18,"21.14","4.10","2.3753","1.1744"
65,"2024-11-20","Wednesday",3,47,False,"New York","Northeast","US",131,"Lance Fox",58,"Miami",14,"4.90","Active","SAVE20",True,"0.2000","33.60",56,"77.70","4.60","2.3125","1.3875"
66,"2024-11-13","Wednesday",3,46,False,"Los Angeles","West","US",173,"Sharon Thomas",43,"Miami",8,"4.90","Inactive","WELCOME5",True,"0.0500","7.80",19,"5.50","4.70","0.7051","0.2895"
67,"2024-11-01","Friday",5,44,False,"Miami","South","US",164,"Joshua Williams",33,"San Francisco",9,"4.50","Inactive","NO_PROMO",False,"0.0000","21.10",44,"62.12","3.80","2.9441","1.4118"
68,"2024-11-02","Saturday",6,44,True,"Chicago","Midwest","US",111,"Barbara Bryant",52,"Chicago",2,"4.80","Inactive","WELCOME5",True,"0.0500","42.50",86,"118.47","4.30","2.7875","1.3776"
69,"2024-11-04","Monday",1,45,False,"New York","Northeast","US",143,"Martha Nunez",36,"New York",4,"4.10","Active","DISCOUNT10",True,"0.1000","27.50",50,"35.60","4.90","1.2945","0.7120"
70,"2024-11-05","Tuesday",2,45,False,"New York","Northeast","US",165,"Leonard Willis",29,"Los Angeles",3,"4.40","Active","DISCOUNT10",True,"0.1000","44.40",75,"101.39","4.50","2.2836","1.3519"
71,"2024-11-10","Sunday",7,45,True,"New York","Northeast","US",142,"Samuel Warren",58,"Chicago",20,"4.90","Active","DISCOUNT10",True,"0.1000","6.70",10,"4.73","4.00","0.7060","0.4730"
72,"2024-11-30","Saturday",6,48,True,"Miami","South","US",134,"Ashley Foster",59,"Los Angeles",12,"4.30","Inactive","NO_PROMO",False,"0.0000","28.30",51,"81.19","4.60","2.8689","1.5920"
73,"2024-11-18","Monday",1,47,False,"Los Angeles","West","US",174,"Eric Gonzalez",44,"New York",12,"5.00","Active","WELCOME5",True,"0.0500","41.50",95,"88.39","4.30","2.1299","0.9304"
74,"2024-11-23","Saturday",6,47,True,"San Francisco","West","US",145,"Adam Noble",52,"San Francisco",11,"4.80","Active","NO_PROMO",False,"0.0000","37.30",83,"25.78","4.40","0.6912","0.3106"
75,"2024-11-30","Saturday",6,48,True,"Chicago","Midwest","US",108,"Ronald Holden",35,"Los Angeles",7,"4.90","Active","SAVE20",True,"0.2000","3.60",5,"8.22","4.10","2.2833","1.6440"
76,"2024-11-16","Saturday",6,46,True,"San Francisco","West","US",148,"Isaiah Evans",60,"Chicago",3,"4.90","Inactive","SAVE20",True,"0.2000","41.70",100,"112.92","4.50","2.7079","1.1292"
77,"2024-11-26","Tuesday",2,48,False,"San Francisco","West","US",170,"Erik Greene",37,"Chicago",20,"5.00","Inactive","WELCOME5",True,"0.0500","12.60",22,"10.31","4.80","0.8183","0.4686"
78,"2024-11-29","Friday",5,48,False,"Los Angeles","West","US",104,"Tiffany Wright",58,"San Francisco",19,"4.40","Inactive","SAVE20",True,"0.2000","14.60",30,"11.03","4.00","0.7555","0.3677"
79,"2024-11-05","Tuesday",2,45,False,"Los Angeles","West","US",121,"David Moore",32,"San Francisco",9,"4.90","Inactive","WELCOME5",True,"0.0500","14.10",26,"35.73","3.80","2.5340","1.3742"
80,"2024-11-30","Saturday",6,48,True,"Los Angeles","West","US",144,"Valerie Henry MD",47,"San Francisco",12,"4.80","Inactive","NO_PROMO",False,"0.0000","14.10",21,"32.83","4.50","2.3284","1.5633"
81,"2024-11-17","Sunday",7,46,True,"New York","Northeast","US",132,"Kaitlin Walton",27,"Los Angeles",6,"4.80","Active","NO_PROMO",False,"0.0000","24.50",38,"21.25","4.40","0.8673","0.5592"
82,"2024-11-18","Monday",1,47,False,"Chicago","Midwest","US",170,"Erik Greene",37,"Chicago",20,"5.00","Inactive","SAVE20",True,"0.2000","41.30",95,"98.77","5.00","2.3915","1.0397"
83,"2024-11-02","Saturday",6,44,True,"Los Angeles","West","US",161,"Thomas Watson",54,"Los Angeles",9,"4.40","Active","NO_PROMO",False,"0.0000","38.80",79,"73.93","4.50","1.9054","0.9358"
84,"2024-11-09","Saturday",6,45,True,"San Francisco","West","US",108,"Ronald Holden",35,"Los Angeles",7,"4.90","Active","SAVE20",True,"0.2000","24.10",51,"43.15","4.30","1.7905","0.8461"
85,"2024-11-14","Thursday",4,46,False,"New York","Northeast","US",166,"Alexa Thomas",56,"New York",14,"4.60","Inactive","WELCOME5",True,"0.0500","35.70",56,"47.18","4.00","1.3216","0.8425"
86,"2024-11-29","Friday",5,48,False,"San Francisco","West","US",138,"Christine Adkins",60,"New York",16,"4.80","Active","SAVE20",True,"0.2000","39.00",72,"66.08","3.90","1.6944","0.9178"
87,"2024-11-27","Wednesday",3,48,False,"New York","Northeast","US",190,"Michelle Rhodes",29,"San Francisco",20,"4.20","Active","NO_PROMO",False,"0.0000","47.80",108,"130.51","4.90","2.7303","1.2084"
88,"2024-11-21","Thursday",4,47,False,"San Francisco","West","US",170,"Erik Greene",37,"Chicago",20,"5.00","Inactive","NO_PROMO",False,"0.0000","37.50",81,"85.61","5.00","2.2829","1.0569"
89,"2024-11-01","Friday",5,44,False,"New York","Northeast","US",183,"Ashley Burke",37,"San Francisco",19,"4.80","Inactive","NO_PROMO",False,"0.0000","21.20",43,"14.35","4.50","0.6769","0.3337"
90,"2024-11-17","Sunday",7,46,True,"San Francisco","West","US",184,"Nathaniel Smith",34,"Miami",2,"4.40","Inactive","NO_PROMO",False,"0.0000","43.30",89,"91.27","4.30","2.1079","1.0255"
91,"2024-11-01","Friday",5,44,False,"Chicago","Midwest","US",143,"Martha Nunez",36,"New York",4,"4.10","Active","WELCOME5",True,"0.0500","43.20",98,"121.42","4.90","2.8106","1.2390"
92,"2024-11-11","Monday",1,46,False,"Miami","South","US",138,"Christine Adkins",60,"New York",16,"4.80","Active","SAVE20",True,"0.2000","19.70",39,"32.05","4.60","1.6269","0.8218"
93,"2024-11-03","Sunday",7,44,True,"New York","Northeast","US",119,"April Rodriguez",44,"Chicago",4,"5.00","Active","WELCOME5",True,"0.0500","1.60",2,"1.27","4.40","0.7938","0.6350"
94,"2024-11-24","Sunday",7,47,True,"Los Angeles","West","US",156,"Peggy Scott PhD",37,"Miami",12,"4.30","Inactive","DISCOUNT10",True,"0.1000","40.90",87,"50.87","4.60","1.2438","0.5847"
95,"2024-11-06","Wednesday",3,45,False,"Los Angeles","West","US",155,"Gregory Pruitt",34,"Los Angeles",3,"4.00","Active","WELCOME5",True,"0.0500","22.30",48,"19.48","4.30","0.8735","0.4058"
96,"2024-11-19","Tuesday",2,47,False,"New York","Northeast","US",190,"Michelle Rhodes",29,"San Francisco",20,"4.20","Active","WELCOME5",True,"0.0500","24.60",59,"40.58","4.80","1.6496","0.6878"
97,"2024-11-13","Wednesday",3,46,False,"Los Angeles","West","US",137,"Steven Alexander",47,"Los Angeles",20,"4.10","Active","DISCOUNT10",True,"0.1000","32.10",70,"28.75","3.80","0.8956","0.4107"
98,"2024-11-24","Sunday",7,47,True,"San Francisco","West","US",104,"Tiffany Wright",58,"San Francisco",19,"4.40","Inactive","NO_PROMO",False,"0.0000","45.10",73,"111.94","4.60","2.4820","1.5334"
99,"2024-11-27","Wednesday",3,48,False,"New York","Northeast","US",125,"Gabriel Jackson",55,"New York",5,"4.80","Inactive","NO_PROMO",False,"0.0000","4.20",9,"6.81","4.40","1.6214","0.7567"
100,"2024-11-23","Saturday",6,47,True,"Chicago","Midwest","US",122,"Randall Cook",32,"Chicago",15,"5.00","Inactive","SAVE20",True,"0.2000","39.70",74,"75.90","5.00","1.9118","1.0257"
101,"2024-11-18","Monday",1,47,False,"San Francisco","West","US",138,"Christine Adkins",60,"New York",16,"4.80","Active","NO_PROMO",False,"0.0000","6.90",14,"10.36","4.60","1.5014","0.7400"
102,"2024-11-19","Tuesday",2,47,False,"New York","Northeast","US",109,"Maxwell Gallagher",35,"New York",15,"4.50","Inactive","NO_PROMO",False,"0.0000","7.90",17,"8.33","3.90","1.0544","0.4900"
103,"2024-11-05","Tuesday",2,45,False,"New York","Northeast","US",151,"Kristen Smith",55,"Chicago",14,"4.70","Inactive","WELCOME5",True,"0.0500","32.80",61,"16.99","3.60","0.5180","0.2785"
104,"2024-11-30","Saturday",6,48,True,"San Francisco","West","US",168,"Andrew Dunn",25,"Los Angeles",19,"4.80","Active","DISCOUNT10",True,"0.1000","49.50",104,"56.19","3.50","1.1352","0.5403"
105,"2024-11-07","Thursday",4,45,False,"Miami","South","US",111,"Barbara Bryant",52,"Chicago",2,"4.80","Inactive","WELCOME5",True,"0.0500","48.50",90,"62.76","3.80","1.2940","0.6973"
106,"2024-11-12","Tuesday",2,46,False,"San Francisco","West","US",158,"Holly Li",47,"Chicago",14,"4.10","Inactive","NO_PROMO",False,"0.0000","43.30",68,"29.09","4.30","0.6718","0.4278"
107,"2024-11-25","Monday",1,48,False,"Chicago","Midwest","US",113,"Brian Edwards II",35,"Los Angeles",15,"4.40","Inactive","SAVE20",True,"0.2000","39.60",75,"46.92","4.30","1.1848","0.6256"
108,"2024-11-29","Friday",5,48,False,"San Francisco","West","US",193,"Jason Adams",44,"Los Angeles",11,"4.30","Active","SAVE20",True,"0.2000","14.70",31,"28.64","4.80","1.9483","0.9239"
109,"2024-11-06","Wednesday",3,45,False,"San Francisco","West","US",163,"Laura Romero",32,"Chicago",19,"4.00","Active","WELCOME5",True,"0.0500","25.30",57,"44.56","3.70","1.7613","0.7818"
110,"2024-11-26","Tuesday",2,48,False,"Miami","South","US",101,"William Black",56,"San Francisco",15,"4.80","Active","WELCOME5",True,"0.0500","12.90",30,"23.92","4.70","1.8543","0.7973"
111,"2024-11-22","Friday",5,47,False,"Los Angeles","West","US",153,"Omar Dunn",40,"San Francisco",2,"4.60","Active","SAVE20",True,"0.2000","4.80",9,"6.09","3.60","1.2688","0.6767"
112,"2024-11-06","Wednesday",3,45,False,"Miami","South","US",177,"Charles Guerrero",58,"San Francisco",9,"4.70","Active","SAVE20",True,"0.2000","14.90",22,"18.84","4.60","1.2644","0.8564"
113,"2024-11-16","Saturday",6,46,True,"Chicago","Midwest","US",177,"Charles Guerrero",58,"San Francisco",9,"4.70","Active","WELCOME5",True,"0.0500","12.00",23,"19.62","4.00","1.6350","0.8530"
114,"2024-11-29","Friday",5,48,False,"Los Angeles","West","US",184,"Nathaniel Smith",34,"Miami",2,"4.40","Inactive","SAVE20",True,"0.2000","2.20",4,"6.22","4.40","2.8273","1.5550"
115,"2024-11-04","Monday",1,45,False,"Los Angeles","West","US",155,"Gregory Pruitt",34,"Los Angeles",3,"4.00","Active","WELCOME5",True,"0.0500","19.10",35,"32.49","4.50","1.7010","0.9283"
116,"2024-11-04","Monday",1,45,False,"Los Angeles","West","US",180,"Ray Clarke",51,"Los Angeles",15,"4.90","Inactive","DISCOUNT10",True,"0.1000","3.00",4,"2.95","4.20","0.9833","0.7375"
117,"2024-11-19","Tuesday",2,47,False,"San Francisco","West","US",164,"Joshua Williams",33,"San Francisco",9,"4.50","Inactive","WELCOME5",True,"0.0500","13.90",21,"30.05","3.90","2.1619","1.4310"
118,"2024-11-30","Saturday",6,48,True,"New York","Northeast","US",190,"Michelle Rhodes",29,"San Francisco",20,"4.20","Active","WELCOME5",True,"0.0500","42.50",84,"83.61","4.40","1.9673","0.9954"
119,"2024-11-03","Sunday",7,44,True,"Los Angeles","West","US",109,"Maxwell Gallagher",35,"New York",15,"4.50","Inactive","DISCOUNT10",True,"0.1000","20.10",48,"23.55","4.10","1.1716","0.4906"
120,"2024-11-25","Monday",1,48,False,"Chicago","Midwest","US",162,"Mrs. Shannon Ward",58,"New York",18,"5.00","Active","NO_PROMO",False,"0.0000","42.40",93,"66.84","4.60","1.5764","0.7187"
121,"2024-11-10","Sunday",7,45,True,"Chicago","Midwest","US",158,"Holly Li",47,"Chicago",14,"4.10","Inactive","DISCOUNT10",True,"0.1000","35.20",85,"65.70","3.70","1.8665","0.7729"
122,"2024-11-02","Saturday",6,44,True,"Chicago","Midwest","US",200,"Amy Guzman",36,"New York",20,"4.30","Active","SAVE20",True,"0.2000","5.80",11,"12.14","4.10","2.0931","1.1036"
123,"2024-11-05","Tuesday",2,45,False,"Miami","South","US",174,"Eric Gonzalez",44,"New York",12,"5.00","Active","DISCOUNT10",True,"0.1000","1.40",2,"3.02","3.60","2.1571","1.5100"
124,"2024-11-20","Wednesday",3,47,False,"New York","Northeast","US",145,"Adam Noble",52,"San Francisco",11,"4.80","Active","NO_PROMO",False,"0.0000","8.40",14,"24.18","3.90","2.8786","1.7271"
125,"2024-11-07","Thursday",4,45,False,"Chicago","Midwest","US",137,"Steven Alexander",47,"Los Angeles",20,"4.10","Active","WELCOME5",True,"0.0500","2.70",5,"3.96","4.00","1.4667","0.7920"
126,"2024-11-04","Monday",1,45,False,"New York","Northeast","US",116,"Mark Hernandez",38,"Miami",18,"4.90","Inactive","DISCOUNT10",True,"0.1000","25.20",51,"42.15","4.20","1.6726","0.8265"
127,"2024-11-30","Saturday",6,48,True,"Los Angeles","West","US",142,"Samuel Warren",58,"Chicago",20,"4.90","Active","DISCOUNT10",True,"0.1000","13.80",32,"11.34","4.40","0.8217","0.3544"
128,"2024-11-01","Friday",5,44,False,"San Francisco","West","US",124,"Eric Gray",25,"Chicago",8,"4.50","Active","NO_PROMO",False,"0.0000","24.30",37,"57.95","4.40","2.3848","1.5662"
129,"2024-11-28","Thursday",4,48,False,"Los Angeles","West","US",130,"David Craig",50,"New York",18,"4.70","Inactive","DISCOUNT10",True,"0.1000","18.90",28,"53.31","3.70","2.8206","1.9039"
130,"2024-11-04","Monday",1,45,False,"Los Angeles","West","US",176,"Brett Guzman",59,"Miami",14,"4.60","Inactive","DISCOUNT10",True,"0.1000","42.80",92,"49.87","4.30","1.1652","0.5421"
131,"2024-11-16","Saturday",6,46,True,"Miami","South","US",103,"Crystal Cook",57,"Chicago",9,"4.50","Inactive","DISCOUNT10",True,"0.1000","44.30",108,"78.79","4.60","1.7786","0.7295"
